[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
LastDetect,17,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,
DetectPhase1,17,,,,,,,,,,4,,,,9,0,,,,,,,,,,
DetectPhase2,17,,,,,,,,,,2,,,,0,0,,,,,,,,,,
DetectPhase3,17,,,,,,,,,,0,,,,0,0,,,,,,,,,,
DetectPhase4,17,,,,,,,,,,0,,,,0,0,,,,,,,,,,
SwitchPhase,17,,,,,,,,,,0,,,,0,0,,,,,,,,,,
numDetects,17,,,,,,,,,,2,,,,1,2,,,,,,,,,,
DetectPos1,17,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,
DetectSize1,17,,,,,,,,,,1.8,,,,6.1,1.8,,,,,,,,,,
DetectType1,17,,,,,,,,,,3,,,,3,3,,,,,,,,,,
DetectExtend1,17,,,,,,,,,,0,,,,0,0,,,,,,,,,,
DetectQueue1,17,,,,,,,,,,0,,,,0,0,,,,,,,,,,
DetectDelay1,17,,,,,,,,,,0,,,,0,0,,,,,,,,,,
DetectPos2,17,,,,,,,,,,28.7,,,,,28.7,,,,,,,,,,
DetectSize2,17,,,,,,,,,,1.8,,,,,1.8,,,,,,,,,,
DetectType2,17,,,,,,,,,,3,,,,,3,,,,,,,,,,
DetectExtend2,17,,,,,,,,,,0,,,,,0,,,,,,,,,,
Exit Lanes,17,0,,,,,,,,,0,,,,,0,,,,,,,,,,
CBD,17,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,17,0,,0,,,,,,,780,0,,,308,467,,,,,,,,,,
Up Node,24,23,23,23,23,19,19,19,19,16,16,16,16,17,17,17,17,25,25,,25,25,,,,
Dest Node,24,16,19,17,25,17,25,23,16,19,17,25,23,25,23,16,19,23,16,,19,17,,,,
Lanes,24,1,0,1,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,,0,0,,,,
Shared,24,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,0,,,,,
Width,24,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,,3.7,3.7,,,,
Storage,24,67.1,,67.1,,,,,,,,79.2,,,,,,,,,,,,,,
Taper,24,7.6,,7.6,,,,,,,,7.6,,,,,,,,,,,,,,
StLanes,24,1,,0,,,,,,,,1,,,,,,,,,,,,,,
Grade,24,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,24,,40,,,,,40,,,40,,,,,40,,,40,,,,,,,
Phase1,24,4,,,,,,,,,2,,,,,-1,,,,,,,,,,6
PermPhase1,24,,,4,,,,,-1,,,5,,,,,,,,,,,,,,
LostTime,24,5,4,5,4,4,4,4,4,4,4.5,4.5,4,4,4,4,4,4,4,,4,4,,,,
Lost Time Adjust,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
IdealFlow,24,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,,,,
SatFlow,24,1755,0,1570,0,0,0,0,1629,0,3259,1458,0,0,0,3380,0,0,0,,0,0,,,,
SatFlowPerm,24,1755,0,1570,0,0,0,0,1629,0,3259,1458,0,0,0,3380,0,0,0,,0,0,,,,
Allow RTOR,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,
SatFlowRTOR,24,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
Volume,24,105,0,215,0,0,0,0,30,0,540,175,0,0,0,425,0,0,0,,0,0,,,,
Peds,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
Bicycles,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
PHF,24,0.76,0.92,0.76,0.76,0.92,0.92,0.92,0.92,0.92,0.97,0.97,0.97,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,,,,
Growth,24,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,,,,
HeavyVehicles,24,4,2,4,4,2,2,2,2,2,12,12,12,8,8,8,2,2,2,,2,2,,,,
BusStops,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
Midblock,24,,0,,,,,0,,,0,,,,,0,,,0,,,,,,,
Distance,24,,107.8,,,,,125.3,,,165.2,,,,,38.2,,,48.2,,,,,,,
TravelTime,24,,9.7,,,,,11.3,,,14.9,,,,,3.4,,,4.3,,,,,,,
Right Channeled,24,,,,0,,,,3,,,,0,,,,2,,,,,0,,,,
Right Radius,24,,,,,,,,15.2,,,,,,,,15.2,,,,,,,,,
Add Lanes,24,,,,,,,,0,,,,,,,,0,,,,,,,,,
Alignment,24,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,1,,,,
Enter Blocked,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
HeadwayFact,24,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,0.99,0.99,,,,
Turning Speed,24,24,97,14,14,24,24,97,14,24,97,14,14,24,24,97,14,24,24,,14,14,,,,
FirstDetect,24,6.1,,6.1,,,,,6.1,,30.5,6.1,,,,30.5,,,,,,,,,,
LastDetect,24,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,
DetectPhase1,24,4,,4,,,,,0,,2,5,,,,0,,,,,,,,,,
DetectPhase2,24,0,,0,,,,,0,,0,0,,,,0,,,,,,,,,,
DetectPhase3,24,0,,0,,,,,0,,0,0,,,,0,,,,,,,,,,
DetectPhase4,24,0,,0,,,,,0,,0,0,,,,0,,,,,,,,,,
SwitchPhase,24,0,,0,,,,,0,,0,0,,,,0,,,,,,,,,,
numDetects,24,1,,1,,,,,1,,2,1,,,,2,,,,,,,,,,
DetectPos1,24,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,
DetectSize1,24,6.1,,6.1,,,,,6.1,,1.8,6.1,,,,1.8,,,,,,,,,,
DetectType1,24,3,,3,,,,,3,,3,3,,,,3,,,,,,,,,,
DetectExtend1,24,0,,0,,,,,0,,0,0,,,,0,,,,,,,,,,
DetectQueue1,24,0,,0,,,,,0,,0,0,,,,0,,,,,,,,,,
DetectDelay1,24,0,,0,,,,,0,,0,0,,,,0,,,,,,,,,,
DetectPos2,24,,,,,,,,,,28.7,,,,,28.7,,,,,,,,,,
DetectSize2,24,,,,,,,,,,1.8,,,,,1.8,,,,,,,,,,
DetectType2,24,,,,,,,,,,3,,,,,3,,,,,,,,,,
DetectExtend2,24,,,,,,,,,,0,,,,,0,,,,,,,,,,
Exit Lanes,24,,0,,,,,0,,,0,,,,,0,,,0,,,,,,,
CBD,24,,0,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,24,138,0,283,0,0,0,0,33,0,557,180,0,0,0,462,0,0,0,,0,0,,,,
Up Node,25,,,,,,17,,17,,,,,,,,,,,18,18,,24,24,,
Dest Node,25,,,,,,18,,24,,,,,,,,,,,24,17,,17,18,,
Lanes,25,,,,,,1,,0,,,,,,,,,,,0,0,,0,1,,
Shared,25,,,,,,0,,,,,,,,,,,,,0,,,0,0,,
Width,25,,,,,,3.7,,3.7,,,,,,,,,,,3.7,3.7,,3.7,3.7,,
Storage,25,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,25,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,25,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,25,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,25,,,,,,40,,,,,,,,,,,,,40,,,,40,,
Phase1,25,,,,,,6,,,,,,,,,,,,,,,,,,,
PermPhase1,25,,,,,,,,,,,,,,,,,,,,,,,4,,
LostTime,25,,,,,,4.5,,4,,,,,,,,,,,4,4,,4,4.5,,
Lost Time Adjust,25,,,,,,0,,0,,,,,,,,,,,0,0,,0,0,,
IdealFlow,25,,,,,,1900,,1900,,,,,,,,,,,1900,1900,,1900,1900,,
SatFlow,25,,,,,,1789,,0,,,,,,,,,,,0,0,,0,1883,,
SatFlowPerm,25,,,,,,1789,,0,,,,,,,,,,,0,0,,0,1883,,
Allow RTOR,25,,,,,,1,,1,,,,,,,,,,,1,1,,1,1,,
SatFlowRTOR,25,,,,,,638,,0,,,,,,,,,,,0,0,,0,0,,
Volume,25,,,,,,280,,0,,,,,,,,,,,0,0,,0,155,,
Peds,25,,,,,,0,,0,,,,,,,,,,,0,0,,0,0,,
Bicycles,25,,,,,,0,,0,,,,,,,,,,,0,0,,0,0,,
PHF,25,,,,,,0.92,,0.92,,,,,,,,,,,0.92,0.92,,0.92,0.92,,
Growth,25,,,,,,100,,100,,,,,,,,,,,100,100,,100,100,,
HeavyVehicles,25,,,,,,2,,2,,,,,,,,,,,2,2,,2,2,,
BusStops,25,,,,,,0,,0,,,,,,,,,,,0,0,,0,0,,
Midblock,25,,,,,,0,,,,,,,,,,,,,0,,,,0,,
Distance,25,,,,,,25.3,,,,,,,,,,,,,55.9,,,,48.2,,
TravelTime,25,,,,,,2.3,,,,,,,,,,,,,5.0,,,,4.3,,
Right Channeled,25,,,,,,,,0,,,,,,,,,,,,0,,,0,,
Alignment,25,,,,,,0,,1,,,,,,,,,,,0,1,,0,0,,
Enter Blocked,25,,,,,,0,,0,,,,,,,,,,,0,0,,0,0,,
HeadwayFact,25,,,,,,0.99,,0.99,,,,,,,,,,,0.99,0.99,,0.99,0.99,,
Turning Speed,25,,,,,,24,,14,,,,,,,,,,,97,14,,24,97,,
FirstDetect,25,,,,,,6.1,,,,,,,,,,,,,,,,,30.5,,
LastDetect,25,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,
DetectPhase1,25,,,,,,6,,,,,,,,,,,,,,,,,4,,
DetectPhase2,25,,,,,,0,,,,,,,,,,,,,,,,,0,,
DetectPhase3,25,,,,,,0,,,,,,,,,,,,,,,,,0,,
DetectPhase4,25,,,,,,0,,,,,,,,,,,,,,,,,0,,
SwitchPhase,25,,,,,,0,,,,,,,,,,,,,,,,,0,,
numDetects,25,,,,,,1,,,,,,,,,,,,,,,,,2,,
DetectPos1,25,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,
DetectSize1,25,,,,,,6.1,,,,,,,,,,,,,,,,,1.8,,
DetectType1,25,,,,,,3,,,,,,,,,,,,,,,,,3,,
DetectExtend1,25,,,,,,0,,,,,,,,,,,,,,,,,0,,
DetectQueue1,25,,,,,,0,,,,,,,,,,,,,,,,,0,,
DetectDelay1,25,,,,,,0,,,,,,,,,,,,,,,,,0,,
DetectPos2,25,,,,,,,,,,,,,,,,,,,,,,,28.7,,
DetectSize2,25,,,,,,,,,,,,,,,,,,,,,,,1.8,,
DetectType2,25,,,,,,,,,,,,,,,,,,,,,,,3,,
DetectExtend2,25,,,,,,,,,,,,,,,,,,,,,,,0,,
Exit Lanes,25,,,,,,0,,,,,,,,,,,,,0,,,,0,,
CBD,25,,,,,,,,,,,,,,,,,,,0,,,,,,
Lane Group Flow,25,,,,,,304,,0,,,,,,,,,,,0,0,,0,168,,
